,,Level Balance,EQ,Compression,Reverb,Overall,Level Balance,EQ,Compression,Reverb,Overall,Level Balance,EQ,Compression,Reverb,Overall,Level Balance,EQ,Compression,Reverb,Overall
,,random,random,random,random,random,baseline,baseline,baseline,baseline,baseline,deep,deep,deep,deep,deep,human,human,human,human,human
Unexperienced,Very Poor,16,12,11,18,21,4,4,5,6,4,0,0,2,3,3,1,1,1,1,0
Unexperienced,Poor,27,28,26,22,20,21,20,19,22,21,32,40,35,43,32,11,14,16,14,12
Unexperienced,Fair,22,31,26,22,25,30,33,37,34,31,28,28,35,24,37,26,22,27,25,26
Unexperienced,Good,21,18,25,23,20,27,28,27,25,28,26,18,16,15,13,31,35,27,28,30
Unexperienced,Very Good,4,1,2,5,4,8,5,2,3,6,4,4,2,5,5,21,18,19,22,22
