,,Level Balance,EQ,Compression,Reverb,Overall,Level Balance,EQ,Compression,Reverb,Overall,Level Balance,EQ,Compression,Reverb,Overall,Level Balance,EQ,Compression,Reverb,Overall
,,random,random,random,random,random,baseline,baseline,baseline,baseline,baseline,deep,deep,deep,deep,deep,human,human,human,human,human
hobbyist,Very Poor,46,39,25,65,55,19,26,17,20,20,22,20,24,20,13,13,12,16,12,16
hobbyist,Poor,83,93,82,86,106,72,83,59,91,97,54,93,60,91,98,45,50,35,43,49
hobbyist,Fair,57,58,80,40,37,83,67,106,78,67,97,62,96,74,80,77,70,97,69,74
hobbyist,Good,17,14,17,14,7,31,30,23,18,21,30,24,26,19,12,60,56,51,69,55
hobbyist,Very Good,7,6,6,5,5,5,4,5,3,5,7,11,4,6,7,15,22,11,17,16
