,Level Balance,EQ,Compression,Reverb,Overall,Level Balance,EQ,Compression,Reverb,Overall,Level Balance,EQ,Compression,Reverb,Overall,Level Balance,EQ,Compression,Reverb,Overall
,random,random,random,random,random,baseline,baseline,baseline,baseline,baseline,CNN,CNN,CNN,CNN,CNN,human,human,human,human,human
Very Poor,114,101,74,148,143,42,63,48,71,55,46,53,52,62,54,27,29,28,31,32
Poor,159,167,147,147,169,145,151,113,163,178,129,187,140,185,185,77,101,78,84,89
Fair,108,119,164,81,86,166,141,202,142,133,173,124,184,130,159,165,131,184,158,149
Good,52,46,53,49,38,73,77,68,59,65,85,59,63,49,37,130,133,114,124,125
Very Good,17,17,12,25,14,24,18,19,15,19,17,27,11,24,15,51,56,46,53,55
