	room_size	reverberation_time_s	lows_cutoff_frequency_hz	lows_q_factor	lows_gain_db_s	highs_cutoff_frequency_hz	highs_q_factor	highs_gain_db_s	fade_in_time_s	dry_wet
52	4.5517416	0.67868334	80.05189	0.18834025	3.690601	2280.8777	0.116704315	4.072376	0.38786757	0.06652809
53	4.567283	0.6743321	83.79906	0.18849601	3.6858046	2281.7334	0.116914615	4.0615697	0.38948944	0.06656237
54	4.551448	0.6767231	77.12255	0.18576357	3.6885498	2269.5579	0.11527799	4.053309	0.38917816	0.06607275
55	4.563493	0.6817597	82.518105	0.18838969	3.7215493	2289.7285	0.11584393	4.0667233	0.3865272	0.06631902
56	4.523712	0.6796957	81.155075	0.18680789	3.7089498	2275.7737	0.11624368	4.0554185	0.38701564	0.06614914
57	4.5698895	0.68420064	75.734215	0.1874437	3.720412	2269.9766	0.1150455	4.0639253	0.38680986	0.06669066
58	4.5142155	0.67324704	80.818405	0.18772581	3.7065675	2263.9194	0.115693316	4.024334	0.38216856	0.06621048
59	4.52466	0.676349	79.87638	0.18579195	3.7049747	2260.744	0.11579936	4.021412	0.38858974	0.066364326
60	4.5248113	0.67258924	78.0886	0.18441683	3.6845882	2253.0938	0.11467248	4.052393	0.38586438	0.06620237
61	4.4952273	0.6742098	81.91804	0.18485825	3.6873655	2239.5205	0.11538464	4.0292106	0.38566256	0.066044055
62	4.4702992	0.6738414	78.43103	0.18301049	3.6659672	2233.9243	0.11467748	4.0065603	0.385142	0.066072285
63	4.545692	0.6799671	78.75356	0.18516119	3.6947842	2262.0117	0.11544253	4.067855	0.3905805	0.065866485
64	4.4828706	0.6677275	74.86142	0.18131176	3.6783173	2227.693	0.114154406	4.0267467	0.38558134	0.06586627
65	4.512519	0.6729652	78.97517	0.1853201	3.6871696	2258.1465	0.11528598	4.0608697	0.38594052	0.06614905
66	4.461575	0.6684243	79.49105	0.18156677	3.6702838	2232.033	0.113859944	4.029377	0.38496342	0.065852135
67	4.460679	0.67095256	76.030785	0.18279439	3.6818032	2247.1453	0.11336592	4.0266476	0.38308576	0.06554381
68	4.476289	0.6712635	75.6602	0.1853387	3.6745229	2233.1843	0.115626566	4.047153	0.38536632	0.06589574
69	4.44102	0.66751623	79.26262	0.18158966	3.6933856	2241.7183	0.11445203	4.0407643	0.38428622	0.06593093
70	4.490104	0.66863424	76.526375	0.1834234	3.668759	2237.4639	0.114564344	4.034314	0.384812	0.06606086
71	4.4312897	0.6605246	76.0553	0.18212207	3.6529667	2238.2249	0.11375519	4.0234194	0.38576645	0.06588205
72	4.4863324	0.6655906	79.38807	0.18396954	3.6711764	2222.76	0.11410336	3.9865294	0.3857211	0.06621367
73	4.40699	0.6619434	72.86601	0.18169697	3.6748374	2220.6863	0.114183135	4.0043874	0.38407767	0.06622546
74	4.440817	0.6644603	76.96417	0.18039384	3.649542	2225.9062	0.1122256	4.02215	0.38585326	0.0656381
75	4.416639	0.66161895	77.86533	0.18072176	3.666027	2215.5789	0.11241848	3.9874177	0.3836442	0.06561648
76	4.410081	0.66364986	73.99886	0.17940758	3.6560404	2218.652	0.11324919	3.9966345	0.3831666	0.06585719
77	4.421833	0.6656621	75.45376	0.1824699	3.66254	2240.9932	0.11411754	4.0348907	0.38655248	0.065945216
78	4.4485593	0.6684368	75.006805	0.1808156	3.6672423	2236.433	0.113401905	4.0068355	0.38630787	0.06533702
79	4.4020185	0.6621425	74.262665	0.18041427	3.6660478	2218.0852	0.112874195	4.0042353	0.38219324	0.065525524
80	4.428654	0.6644918	74.91801	0.17967294	3.6653285	2225.274	0.11242359	4.008831	0.38413677	0.06566887
81	4.3996267	0.6611422	73.84628	0.17860329	3.6602926	2205.7063	0.11183505	3.9903774	0.3831312	0.065322794
82	4.36877	0.6625082	74.51649	0.18014501	3.665553	2210.7366	0.11266347	3.9824774	0.38393232	0.065706775
83	4.431917	0.66248345	72.85849	0.1807058	3.6615388	2218.4412	0.11228593	4.0158143	0.38251165	0.06547747
84	4.421308	0.6616838	74.704735	0.18008614	3.679542	2207.6118	0.111556485	4.0051494	0.38601562	0.06544426
85	4.341616	0.6564245	73.552605	0.17673862	3.6333456	2195.9758	0.1115015	3.9957442	0.38363364	0.06499454
86	4.4256	0.66266143	74.50553	0.17884728	3.650649	2214.5342	0.11316134	4.0129037	0.38467294	0.06589258
87	4.403848	0.6595825	73.91213	0.1776243	3.627987	2206.0176	0.1115782	3.972999	0.38361037	0.0649279
88	4.3604326	0.6577123	75.40438	0.17647624	3.6551414	2210.3208	0.11160539	3.9593577	0.3828859	0.06496542
89	4.375784	0.6600334	75.649765	0.17902951	3.6571336	2207.969	0.11229	3.9962711	0.38333574	0.06519847
90	4.3749657	0.6589338	71.570816	0.17759034	3.627314	2202.541	0.111179315	3.9978998	0.3816015	0.06529096
91	4.3983784	0.6597809	70.74794	0.17878243	3.6489854	2192.6428	0.11133548	3.9760034	0.37847114	0.06532758
92	4.3737025	0.6563788	73.37619	0.17665921	3.6381927	2210.5293	0.1118386	3.971323	0.38069594	0.065133125
93	4.342716	0.65999764	73.585335	0.17834067	3.6458097	2198.319	0.11182266	3.9959366	0.38316035	0.06509455
94	4.3800445	0.6643733	73.89524	0.1794161	3.6610112	2219.3076	0.11236518	3.9862518	0.38246766	0.065248325
95	4.3232265	0.6519684	70.6017	0.17545387	3.6287568	2187.798	0.110862285	3.9379103	0.3825446	0.06497916
96	4.3718753	0.66213363	72.88932	0.18059768	3.6477218	2207.3025	0.11225033	3.980522	0.3826892	0.06545591
97	4.3880157	0.66316533	73.886986	0.1781583	3.6528504	2212.5225	0.11290825	3.9842374	0.38229686	0.065315306
98	4.337203	0.656218	72.20325	0.17716628	3.6412342	2190.7644	0.111399576	3.9670124	0.37965104	0.06510465
99	4.343199	0.6554292	74.25551	0.17375012	3.619836	2188.6677	0.11114357	3.982475	0.38120463	0.06521579
100	4.343191	0.65666306	70.30145	0.1746871	3.6598072	2173.948	0.11055454	3.941887	0.3806776	0.06495114
101	4.365585	0.6614184	73.52576	0.17543198	3.6524963	2197.472	0.11086774	3.9762921	0.38115123	0.06539444
102	4.3313484	0.6543769	72.57764	0.17759095	3.6408422	2180.992	0.111325786	3.9515874	0.3799587	0.06535006
103	4.253653	0.65084773	72.52359	0.17446603	3.666779	2179.8352	0.10986122	3.9595728	0.3783602	0.06454606
104	4.3096323	0.6588543	72.57581	0.17602977	3.6265097	2181.1858	0.11088272	3.9467528	0.38095605	0.06530408
105	4.327377	0.6569482	70.44535	0.17635146	3.6342778	2203.008	0.11090176	3.9655762	0.3810531	0.0652078
106	4.2998214	0.6538368	72.16569	0.17456546	3.6133895	2190.481	0.10991855	3.9443307	0.38034216	0.06506843
107	4.294081	0.6463391	72.3603	0.17386189	3.625221	2167.8008	0.11028571	3.957215	0.37814164	0.06469712
108	4.2995462	0.6481029	71.713295	0.17405364	3.613735	2182.8613	0.1104102	3.9393132	0.37935242	0.06474357
109	4.3401074	0.6547932	71.66637	0.17608196	3.6064394	2182.7683	0.11039194	3.9648848	0.38062614	0.06517611
110	4.306792	0.6510909	69.62701	0.17284864	3.6192193	2184.839	0.11031089	3.9580567	0.37934503	0.06486731
111	4.3411455	0.65328926	74.9251	0.17632128	3.6273153	2187.4846	0.111207455	3.956434	0.3808524	0.065140754
112	4.263814	0.64402217	71.010056	0.1700549	3.613336	2162.7974	0.10878607	3.9371421	0.3796421	0.0643249
113	4.314003	0.6487619	71.87257	0.1731576	3.6404154	2171.71	0.11011974	3.9712148	0.3798133	0.06481596
114	4.308481	0.6517065	70.9302	0.17582397	3.6211884	2173.692	0.11119876	3.956195	0.3799563	0.064864
115	4.3216734	0.65308917	71.50681	0.17421064	3.6338634	2163.8867	0.11038072	3.9322395	0.38083753	0.06520261
116	4.316368	0.64907277	73.07412	0.17493099	3.6334746	2178.7395	0.11056552	3.9638128	0.37808385	0.06500398
117	4.3179736	0.6530506	70.47086	0.17620504	3.6324089	2169.0945	0.11083119	3.9189107	0.37938184	0.06540402
118	4.2783847	0.64793766	69.80984	0.17177418	3.618641	2178.223	0.10931441	3.953964	0.37980717	0.06513609
