	room_size	reverberation_time_s	lows_cutoff_frequency_hz	lows_q_factor	lows_gain_db_s	highs_cutoff_frequency_hz	highs_q_factor	highs_gain_db_s	fade_in_time_s	dry_wet
0	13.707172	3.7496808	8090.9746	0.5056089	35.745644	9348.01	0.5319122	55.61781	3.6476865	0.40458345
1	12.448646	3.1706057	7059.2026	0.4631094	29.872055	7707.184	0.37822104	32.18572	3.1790993	0.34827223
2	11.32246	2.8268623	6135.015	0.44056693	26.58412	6979.2476	0.3456891	29.036943	2.8162549	0.31223
3	10.65801	2.6137145	5582.497	0.42150074	24.113825	6483.0986	0.31954014	26.834812	2.543881	0.2826502
4	10.09682	2.40563	5118.2915	0.4142503	22.511503	6091.9326	0.30473495	24.948576	2.3365479	0.26208746
5	9.708442	2.2792637	4791.4297	0.40575156	21.50233	5814.7856	0.2965224	23.469175	2.1740353	0.24687678
6	9.465709	2.140154	4458.1533	0.39882642	19.988737	5536.55	0.28262115	22.126192	2.0422845	0.23038374
7	9.179433	2.0438	4140.1147	0.39649522	19.274345	5288.6216	0.2756805	20.84337	1.896182	0.21823923
8	8.933681	1.9515086	3931.662	0.391929	18.341908	5186.0273	0.26663888	19.999525	1.7916197	0.20257582
9	8.711188	1.8409188	3709.592	0.39046577	17.416765	4985.988	0.25705817	18.901142	1.69942	0.19438583
10	8.523362	1.7741636	3461.255	0.385759	16.550077	4856.78	0.25424203	18.069149	1.6120584	0.18649125
11	8.426008	1.6904744	3228.2375	0.38726932	15.9933195	4673.872	0.24389112	17.145405	1.506969	0.1742864
12	8.327781	1.6478854	3035.818	0.38271806	14.913493	4555.383	0.24186327	16.135881	1.4393709	0.16754219
13	8.103175	1.5751832	2824.378	0.38062522	14.251272	4394.202	0.23419978	15.4154415	1.3645694	0.15937203
14	7.9161835	1.5128736	2670.3735	0.37917185	13.674438	4274.03	0.2293757	14.90712	1.2698638	0.15261105
15	7.915159	1.4701015	2534.6863	0.37716818	13.156628	4205.077	0.22657143	14.270384	1.2151289	0.1435772
16	7.755814	1.4162374	2361.859	0.37691432	12.747603	4117.414	0.22125162	13.497325	1.1449893	0.13876984
17	7.754206	1.3730088	2183.5876	0.3735665	12.359698	4068.7874	0.21652196	12.9824295	1.1049637	0.13429134
18	7.6072707	1.3278456	2065.86	0.37409964	11.728704	3986.9553	0.21578488	12.400973	1.036807	0.12919955
19	7.633632	1.2875752	1911.2559	0.3710251	11.345301	3928.0916	0.21005778	11.782583	0.98898625	0.12179515
20	7.515662	1.2527303	1786.4275	0.37200478	11.022091	3826.7585	0.20770952	11.290016	0.9370507	0.11750676
21	7.470872	1.2336127	1658.3141	0.37056294	10.48255	3819.0037	0.20530607	10.941413	0.9026829	0.114120275
22	7.4257374	1.2124283	1529.4047	0.36945605	10.206482	3740.825	0.20268685	10.630593	0.8505325	0.11058283
23	7.334468	1.1858933	1448.5707	0.36866435	9.907756	3707.5754	0.20063876	10.246968	0.81566036	0.10707941
24	7.289271	1.1545991	1330.4675	0.3682486	9.555931	3665.4946	0.19802679	9.876602	0.7722329	0.10309205
25	7.2269783	1.1536988	1242.795	0.36691865	9.437038	3639.7239	0.19919969	9.550769	0.7361491	0.101356626
26	7.229874	1.1250066	1155.0905	0.36763358	9.16406	3609.4907	0.1958407	9.1362505	0.7159363	0.097891286
27	7.208956	1.1045446	1054.187	0.36871076	8.945564	3547.0513	0.1935171	9.011147	0.6915654	0.09572835
28	7.2106657	1.0945115	953.58765	0.36748463	8.698909	3534.7078	0.19212562	8.719271	0.6592762	0.09435884
29	7.1002183	1.082253	893.1304	0.3660973	8.5158205	3529.0557	0.19297637	8.591308	0.64231926	0.09152463
30	7.1304913	1.0653975	807.9047	0.36625916	8.285927	3492.461	0.1901746	8.285398	0.6163706	0.08920843
31	7.095216	1.0551109	744.2648	0.3659815	8.117209	3520.1157	0.18866707	8.0954075	0.6034995	0.088414654
32	7.083177	1.0458403	675.2712	0.36510116	8.085272	3466.656	0.18826859	7.978599	0.58152276	0.08733469
33	7.08799	1.0355679	614.21063	0.3657745	7.961459	3444.5615	0.18765177	7.815589	0.56497365	0.08574618
34	7.015376	1.0294942	548.5715	0.3651842	7.8039684	3458.5244	0.18775967	7.611314	0.55385494	0.08475204
35	7.040648	1.0293691	491.19855	0.3636766	7.7041197	3432.5706	0.1851083	7.547379	0.5423903	0.08374641
36	7.0069456	1.0196012	438.13492	0.36362022	7.440607	3410.8389	0.1844791	7.335066	0.5317338	0.08323985
37	6.996089	1.0113761	387.37735	0.3633295	7.477434	3411.8699	0.1842928	7.212519	0.5206555	0.081855685
38	6.959306	1.0089209	339.0717	0.36363554	7.340364	3402.3481	0.18321286	7.230968	0.51312715	0.08133262
39	6.971783	0.9975419	294.46997	0.36273316	7.2515354	3407.4675	0.18212034	7.0527353	0.5016423	0.08026215
40	6.95615	0.99897844	255.44687	0.3627368	7.196915	3379.5564	0.18072382	6.9745793	0.4963181	0.0802754
41	6.9046545	0.99667597	219.68315	0.3621774	7.115022	3377.2307	0.1821088	6.9374156	0.48972675	0.07936998
42	6.9166684	0.9943449	184.20665	0.36173204	7.016268	3379.7815	0.1796056	6.8226347	0.4845525	0.078502774
43	6.884439	0.9851613	155.93883	0.36222976	6.86056	3362.2068	0.1807594	6.679242	0.4788615	0.0786406
44	6.887207	0.99019927	131.04814	0.36220023	6.8644056	3359.973	0.17939919	6.6561193	0.47661608	0.07810935
45	6.8873477	0.98072064	107.09409	0.36112604	6.796445	3353.598	0.18010303	6.610701	0.47339532	0.07812818
46	6.8808055	0.9724574	88.87192	0.35984555	6.64238	3333.2346	0.17988665	6.4370213	0.4688437	0.07722219
47	6.888015	0.97090185	73.04969	0.3605993	6.5531235	3345.365	0.17813945	6.386325	0.4644325	0.07702363
48	6.862475	0.9654983	61.696743	0.35946468	6.5911508	3331.0938	0.17756113	6.331046	0.4650706	0.07680996
49	6.8592725	0.96657443	53.469757	0.3591179	6.500893	3332.7585	0.17664254	6.2549253	0.4622338	0.0768984
50	6.822497	0.96537685	48.241215	0.35857818	6.4728794	3326.547	0.17749873	6.251393	0.4627603	0.07659969
51	6.8375454	0.9695914	45.47168	0.35846695	6.437233	3318.486	0.1785732	6.1483026	0.45938328	0.07602729
52	6.8319683	0.95931995	44.602707	0.3568957	6.317954	3312.7705	0.17536594	6.071982	0.4576663	0.07579287
53	6.82825	0.9622428	44.202427	0.35752776	6.28257	3304.81	0.17666617	6.098786	0.4530092	0.076100126
54	6.7853575	0.9641378	44.092426	0.35849923	6.3263764	3324.487	0.17587927	6.116265	0.45355022	0.07590892
55	6.806831	0.96413755	43.81508	0.357467	6.2306747	3328.8982	0.17587154	6.090703	0.45233637	0.07563416
56	6.8332148	0.9544975	44.03682	0.35725048	6.2491503	3295.1555	0.1754013	6.0037317	0.45097828	0.07533786
57	6.8016996	0.9578386	43.730843	0.35526347	6.1111875	3291.4253	0.17475843	5.904825	0.45024174	0.075398214
58	6.7860646	0.954096	43.227592	0.3571382	6.0545244	3292.839	0.17580351	5.871578	0.450212	0.07546995
59	6.7981634	0.9511592	43.410107	0.35626638	6.0772815	3293.439	0.1750127	5.861208	0.4499287	0.075302206
60	6.749153	0.94572306	43.402878	0.355971	6.0454693	3299.6323	0.17585112	5.894899	0.4489263	0.075352475
61	6.7354646	0.9495482	43.11139	0.35485265	6.1029754	3280.318	0.17435119	5.903077	0.45004442	0.07538283
62	6.752426	0.94684005	43.288776	0.3548275	5.953483	3280.3125	0.1734172	5.7654886	0.44950613	0.07495964
63	6.745367	0.9498114	43.216507	0.3541814	6.0238514	3273.8452	0.17479904	5.7998767	0.44856918	0.07478043
64	6.7311354	0.94585747	42.914967	0.35466257	5.966435	3280.8792	0.17452337	5.7816453	0.44681108	0.07508922
65	6.7298694	0.9461833	42.969425	0.35499063	5.967124	3281.3132	0.17252581	5.787061	0.44601017	0.07484889
66	6.722894	0.9457612	42.795223	0.3531728	5.8535333	3265.0977	0.17358552	5.7508564	0.4457876	0.07470611
67	6.7272005	0.9433201	42.939205	0.35267177	5.903422	3268.6245	0.17262135	5.7434597	0.4456315	0.074449144
68	6.71266	0.9424389	42.939396	0.35306048	5.8776007	3252.0557	0.17322257	5.701111	0.44671997	0.07450984
69	6.7123985	0.93958277	42.891808	0.3520451	5.828997	3248.3806	0.17321675	5.6519	0.44469887	0.07467202
70	6.681917	0.94043267	42.40206	0.35248038	5.7831063	3255.3467	0.17251763	5.6438246	0.44567373	0.074431166
71	6.6691093	0.9386848	42.360207	0.35190085	5.758549	3261.0364	0.1721746	5.6472626	0.44486597	0.07463467
72	6.678145	0.9388393	42.435925	0.35159278	5.8423796	3253.8296	0.17232563	5.6571465	0.44425717	0.07444072
73	6.6627836	0.93612266	42.246876	0.35122207	5.7972884	3246.5652	0.17169306	5.5938015	0.44472212	0.07455729
74	6.6455464	0.9365346	42.598827	0.34988782	5.772613	3239.415	0.17187265	5.581803	0.44298536	0.07438416
